review_text,cleaned_text,rating,date,period,overall_sentiment,price_sentiment,quality_sentiment,features_sentiment,delivery_sentiment,service_sentiment
Great tablet. My kids love it. Great for the prices.,great tablet. my kids love it. great for the prices.,4.0,2020-02-05,pre-inflation,0.9246,0.6249,,,,
"Still needs work as it does not always understand questions and needs more info installed so as to be more user friendly. I got it on sale so decided to try it. Works very well with my wemo light switches and like telling it to play my music and set alarms. For the price I got it for it will pass until they update it some more, It's a work in progress!","still needs work as it does not always understand questions and needs more info installed so as to be more user friendly. i got it on sale so decided to try it. works very well with my wemo light switches and like telling it to play my music and set alarms. for the price i got it for it will pass until they update it some more, its a work in progress!",4.0,2021-04-17,pre-inflation,0.8948,0.4753,,0.6361,,
This is a great tablet for the money. Perfect for someone who does not want to shell out hundreds for an iPad.,this is a great tablet for the money. perfect for someone who does not want to shell out hundreds for an ipad.,5.0,2021-06-12,pre-inflation,0.8214,0.6249,,,,
"So far the only complaint I have is not with the product but with the policy regarding the product. I had one for just about 2 weeks when I noticed a definite issue staying connected. My wife, who has had her Kindle Fire for months, said her started acting up if she had too many apps on it. I started removing them, even to the point of restoring to factory settings several times. After trying for about a week, it simply would not stay connected to the internet. It did stay connected to our wifi. I contacted Best Buy, but since it had been over 2 weeks, their policy is they can't help, unless you've purchased the extended warranty from them. They said that's Amazon's policy. I contacted Amazon, and after a fairly brief support chat, a new Kindle was on the way to its new home. I've been pleased with it since its arrival. It does most of what I need (email, facebook, minimal web use), saving ""wear & tear"" on my laptop.","so far the only complaint i have is not with the product but with the policy regarding the product. i had one for just about 2 weeks when i noticed a definite issue staying connected. my wife, who has had her kindle fire for months, said her started acting up if she had too many apps on it. i started removing them, even to the point of restoring to factory settings several times. after trying for about a week, it simply would not stay connected to the internet. it did stay connected to our wifi. i contacted best buy, but since it had been over 2 weeks, their policy is they cant help, unless youve purchased the extended warranty from them. they said thats amazons policy. i contacted amazon, and after a fairly brief support chat, a new kindle was on the way to its new home. ive been pleased with it since its arrival. it does most of what i need email, facebook, minimal web use, saving wear tear on my laptop.",4.0,2021-03-10,pre-inflation,0.9321,,,,,0.2264
I like this product and most anything from best buy.The product is easy to operate.,i like this product and most anything from best buy.the product is easy to operate.,5.0,2020-09-21,pre-inflation,0.8709,,,,,
I got 2 of these for my 8 and 9 year old daughters and I love them and so do they,i got 2 of these for my 8 and 9 year old daughters and i love them and so do they,5.0,2020-09-01,pre-inflation,0.6369,,,,,
This tablet is very easy to use i bought it for my nephew and he's only 4 years old and he love it,this tablet is very easy to use i bought it for my nephew and hes only 4 years old and he love it,4.0,2020-08-20,pre-inflation,0.8122,,,,,
"This is the best device I have found for my e-books. I know it can be used for a lot more, but it is my library in my hand.","this is the best device i have found for my ebooks. i know it can be used for a lot more, but it is my library in my hand.",4.0,2020-01-14,pre-inflation,0.7845,,,,,
It's a 16 GB mini-computer and camera perfect for trips.,its a 16 gb minicomputer and camera perfect for trips.,5.0,2020-11-22,pre-inflation,0.5719,,,0.5719,,
My grandson loved this. He is 4 and it was perfect.,my grandson loved this. he is 4 and it was perfect.,5.0,2020-01-02,pre-inflation,0.8225,,,,,
"Got the Echo home and immediately set it up and started to use it. Linked my smart devices and spent a few minutes testing the lights, thermostat, etc. All worked extremely smooth and the sensitivity of the microphone was great. My kids spent the afternoon taking turns asking Alexa to play ""Who Let the Dogs Out."" Fun times.","got the echo home and immediately set it up and started to use it. linked my smart devices and spent a few minutes testing the lights, thermostat, etc. all worked extremely smooth and the sensitivity of the microphone was great. my kids spent the afternoon taking turns asking alexa to play who let the dogs out. fun times.",5.0,2021-03-18,pre-inflation,0.91,,,,,
It was brought for my 67 yr old dad.....and he loves it.....,it was brought for my 67 yr old dad.....and he loves it.....,5.0,2021-02-26,pre-inflation,0.5719,,,,,
"Great reader, perfect size and weight, fantastic battery life.","great reader, perfect size and weight, fantastic battery life.",5.0,2021-02-09,pre-inflation,0.9081,,,0.9081,,
"This purchase by far has been one of the best made by me this year. Set up was easy, and the content was plentiful. Well worth the price.","this purchase by far has been one of the best made by me this year. set up was easy, and the content was plentiful. well worth the price.",5.0,2020-12-09,pre-inflation,0.8779,0.4588,,,,
This was a Christmas Present for my niece. It was perfect. Immediately became her favorite and gave her parents devices a break. Would definitely recommend.,this was a christmas present for my niece. it was perfect. immediately became her favorite and gave her parents devices a break. would definitely recommend.,4.0,2020-01-20,pre-inflation,0.8979,,,,,
"This is a great tablet if you have reasonable expectations. And you should definitely pay the extra $20 (for a total of $69) and get the 16 GB tablet. Is it the fastest tablet out there? Definitely not. Does it quickly do all sorts of business spreadsheets applications, etc? No. Does it do everything that an i-pad etc can do? No. But at this price point it can't be beat. People say that you can't download chrome and the google playstore. They are WRONG. I have both on this tablet and my other fire, without rooting them. And with the ability to add a 128 GB card it's a no brainer if you want to play games, watch movies/tv, surf the net, email etc. I know there are a lot of people who dislike Amazon and their products, but I am obviously not one of them.","this is a great tablet if you have reasonable expectations. and you should definitely pay the extra 20 for a total of 69 and get the 16 gb tablet. is it the fastest tablet out there? definitely not. does it quickly do all sorts of business spreadsheets applications, etc? no. does it do everything that an ipad etc can do? no. but at this price point it cant be beat. people say that you cant download chrome and the google playstore. they are wrong. i have both on this tablet and my other fire, without rooting them. and with the ability to add a 128 gb card its a no brainer if you want to play games, watch moviestv, surf the net, email etc. i know there are a lot of people who dislike amazon and their products, but i am obviously not one of them.",5.0,2021-02-11,pre-inflation,-0.3378,0.0,,,,
This item is a thing of the future. You can littetly operate you wireless components using this debice.,this item is a thing of the future. you can littetly operate you wireless components using this debice.,5.0,2021-06-09,pre-inflation,0.0,,,,,
Sleak littoe device for the price for normal everyday use.,sleak littoe device for the price for normal everyday use.,5.0,2020-10-25,pre-inflation,0.0,0.0,,,,
Definitely better than my prior kindle. I do not need reading light anymore,definitely better than my prior kindle. i do not need reading light anymore,4.0,2020-05-14,pre-inflation,0.6808,,,,,
"This Fire tablet is great -- does all I want it to Only down side, the battery only lasts a few hours and has to be recharged often. I like to read -- sometimes, while reading, have to stop and recharge. Otherwise, I love it!!","this fire tablet is great does all i want it to only down side, the battery only lasts a few hours and has to be recharged often. i like to read sometimes, while reading, have to stop and recharge. otherwise, i love it!!",4.0,2020-05-10,pre-inflation,0.8436,,,0.4588,,
"Great for the kids, and has a good battery for how much they use it","great for the kids, and has a good battery for how much they use it",5.0,2020-08-01,pre-inflation,0.7906,,,0.7906,,
I bought this for my kids as a gift. They love this device and use it daily. I couldn't be happier with the purchase,i bought this for my kids as a gift. they love this device and use it daily. i couldnt be happier with the purchase,5.0,2020-02-22,pre-inflation,0.6513,,,,,
"Good tablet for the price. Was looking for a substitute for the Amazon Fire HD 7 that my son lost, and this is a pretty good replacement. Not that much of a difference.","good tablet for the price. was looking for a substitute for the amazon fire hd 7 that my son lost, and this is a pretty good replacement. not that much of a difference.",3.0,2022-02-08,pre-inflation,0.7184,0.4404,,,,0.4767
Cannot beat any amazon product. Especially the firetv box. Way faster,cannot beat any amazon product. especially the firetv box. way faster,5.0,2020-04-05,pre-inflation,-0.1326,,,,,
It is my third kindle. The reading experience with kindle is always good.,it is my third kindle. the reading experience with kindle is always good.,5.0,2020-01-01,pre-inflation,0.4404,,,,,
"My wife and I have been trying to decide between the Paperwhite and the new Nook for a while. After checking each out, the Paperwhite was definitely a clear winner. Amazon support + unique features = a newfound interest in reading!","my wife and i have been trying to decide between the paperwhite and the new nook for a while. after checking each out, the paperwhite was definitely a clear winner. amazon support unique features a newfound interest in reading!",5.0,2020-06-22,pre-inflation,0.9412,,,0.7712,,0.7712
bought it as a gift for my mother and she loves it,bought it as a gift for my mother and she loves it,5.0,2020-11-14,pre-inflation,0.765,,,,,
